241	7;6;0	6;0;0	6;3;3	4;0;0	1;0;0	2;2	0;0	1;4	5;3	0;0	0	0	0	0	0	0	1	0	0	3	Low	Wyvernheart
248	1;5;3	4;3;2	1;0;0	2;0;0	1;1;0	0;0	3;0	2;1	2;1	0;0	4	4	0	0	0	0	1	0	1	3	Average	Wyvernsnipe
238	9;6;5	7;5;4	6;0;0	3;0;0	2;0;0	2;0	4;3	0;0	0;0	0;0	0	0	0	0	0	3	1	0	2	3	Low	Wyvernheart
559	0;0;0	0;0;0	0;0;0	0;0;0	0;0;0	0;0	0;0	0;0	0;0	0;0	0	0	0	0	0	0	0	0	0	0	NA	NA
247	5;4;3	10;8;0	3;2;1	2;0;0	3;0;0	1;1	3;2	2;0	2;0	0;0	5	0	0	0	0	0	1	0	0	3	Low	Wyvernsnipe
251	7;0;0	6;0;0	6;0;0	0;0;0	0;0;0	0;0	7;0	1;4	5;0	7;0	0	0	0	0	3	0	1	3	2	3	Low	Wyvernsnipe
560	0;0;0	0;0;0	0;0;0	0;0;0	0;0;0	0;0	0;0	0;0	0;0	0;0	0	0	0	0	0	0	0	0	0	0	NA	NA
349	0;0;0	0;0;0	0;0;0	0;0;0	0;0;0	0;0	0;0	0;0	0;0	0;0	0	0	0	0	0	0	0	0	0	0	NA	NA
558	0;0;0	0;0;0	0;0;0	0;0;0	0;0;0	0;0	0;0	0;0	0;0	0;0	0	0	0	0	0	0	0	0	0	0	NA	NA
562	0;0;0	0;0;0	0;0;0	0;0;0	0;0;0	0;0	0;0	0;0	0;0	0;0	0	0	0	0	0	0	0	0	0	0	NA	NA
350	0;0;0	0;0;0	0;0;0	0;0;0	0;0;0	0;0	0;0	0;0	0;0	0;0	0	0	0	0	0	0	0	0	0	0	NA	NA
561	0;0;0	0;0;0	0;0;0	0;0;0	0;0;0	0;0	0;0	0;0	0;0	0;0	0	0	0	0	0	0	0	0	0	0	NA	NA
250	10;9;0	9;7;5	9;0;0	0;3;0	0;2;0	0;0	0;0	4;3	4;0	0;0	0	0	0	7	3	4	1	2	0	3	None	Wyvernsnipe
563	0;0;0	0;0;0	0;0;0	0;0;0	0;0;0	0;0	0;0	0;0	0;0	0;0	0	0	0	0	0	0	0	0	0	0	NA	NA
245	9;6;5	7;0;0	6;4;0	3;0;0	2;0;0	2;0	4;0	3;0	3;0	0;0	0	0	0	0	0	3	1	2	0	3	Average	Wyvernsnipe
351	0;0;0	0;0;0	0;0;0	0;0;0	0;0;0	0;0	0;0	0;0	0;0	0;0	0	0	0	0	0	0	0	0	0	0	NA	NA
348	0;0;0	0;0;0	0;0;0	0;0;0	0;0;0	0;0	0;0	0;0	0;0	0;0	0	0	0	0	0	0	0	0	0	0	NA	NA
564	0;0;0	0;0;0	0;0;0	0;0;0	0;0;0	0;0	0;0	0;0	0;0	0;0	0	0	0	0	0	0	0	0	0	0	NA	NA
352	0;0;0	0;0;0	0;0;0	0;0;0	0;0;0	0;0	0;0	0;0	0;0	0;0	0	0	0	0	0	0	0	0	0	0	NA	NA
240	7;6;4	6;5;0	6;3;0	4;3;0	1;0;0	0;0	7;5	1;0	0;0	0;0	0	7	0	0	0	2	1	0	0	3	Low	Wyvernheart
286	7;6;4	0;0;3	0;0;3	0;3;3	0;1;1	0;0	0;5	0;0	5;3	7;6	0	0	0	0	3	2	1	3	0	3	High	Wyvernheart
249	1;5;3	4;3;0	1;3;0	2;2;1	0;1;1	0;0	0;0	0;0	2;0	0;0	0	0	0	4	0	2	1	1	0	3	Average	Wyvernsnipe
243	0;0;0	0;0;0	0;0;0	0;0;0	0;0;0	0;0	0;0	0;0	0;0	0;0	0	0	0	0	0	0	0	0	0	0	NA	NA
244	10;9;6	9;7;0	9;6;5	4;3;0	3;2;0	0;0	5;5	4;0	0;0	0;0	7	0	0	0	3	0	1	2	0	3	High	Wyvernheart
253	7;6;4	0;0;3	0;0;3	0;3;3	0;1;1	2;0	0;5	0;4	0;3	7;6	7	0	0	0	3	0	1	0	2	3	High	Wyvernsnipe
467	0;0;0	0;0;0	0;0;0	0;0;0	0;0;0	0;0	0;0	0;0	0;0	0;0	0	0	0	0	0	0	0	0	0	0	NA	NA
463	0;0;0	0;0;0	0;0;0	0;0;0	0;0;0	0;0	0;0	0;0	0;0	0;0	0	0	0	0	0	0	0	0	0	0	NA	NA
465	7;5;0	7;0;0	10;6;6	0;0;0	0;0;0	2;2	0;0	3;0	0;0	2;0	0	0	0	0	0	0	0	2	2	4	Average	Wyvernsnipe
353	0;0;0	0;0;0	0;0;0	0;0;0	0;0;0	0;0	0;0	0;0	0;0	0;0	0	0	0	0	0	0	0	0	0	0	NA	NA
